IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
89.168.68.57,8443,true,FRA,Europe,Frankfurt,257 ms,153 kB/s
140.238.158.238,443,true,YYZ,North America,Toronto,265 ms,121 kB/s
158.101.98.60,2095,true,IAD,North America,Ashburn,251 ms,12 kB/s
146.235.17.31,443,true,SIN,Asia Pacific,Singapore,292 ms,0 kB/s
152.70.235.207,443,true,NRT,Asia Pacific,Tokyo,80 ms,0 kB/s
158.101.98.60,2053,true,IAD,North America,Ashburn,269 ms,0 kB/s
138.2.61.180,443,true,KIX,Asia Pacific,Osaka,216 ms,0 kB/s
138.2.36.157,8443,true,KIX,Asia Pacific,Osaka,193 ms,0 kB/s
129.146.240.62,443,true,LAX,North America,Los Angeles,241 ms,0 kB/s
168.138.215.251,443,true,NRT,Asia Pacific,Tokyo,140 ms,0 kB/s
192.18.134.22,443,true,SJC,North America,San Jose,173 ms,0 kB/s
168.138.50.249,443,true,KIX,Asia Pacific,Osaka,207 ms,0 kB/s
129.154.60.48,443,true,ICN,Asia Pacific,Seoul,155 ms,0 kB/s
129.146.111.62,443,true,LAX,North America,Los Angeles,272 ms,0 kB/s
192.18.140.32,443,true,SJC,North America,San Jose,176 ms,0 kB/s
